state,district,market,commodity_group,commodity,variety,arrivals,unit_of_arrivals,min_price,max_price,modal_price,unit_of_price,arrival_date
Karnataka,Unknown,Ballari APMC,Cereals,Bajra(Pearl Millet/Cumbu),Hybrid,13.8,Metric Tonnes,2232.0,2709.0,2569.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Lingasugur APMC,Cereals,Bajra(Pearl Millet/Cumbu),Hybrid,24.0,Metric Tonnes,2600.0,2600.0,2600.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Ballari APMC,Cereals,Jowar(Sorghum),Yellow,1.1,Metric Tonnes,1766.0,3321.0,2659.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Basava Kalayana APMC,Cereals,Jowar(Sorghum),Jowar ( White),2.0,Metric Tonnes,1900.0,3700.0,2450.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bidar APMC,Cereals,Jowar(Sorghum),Jowar ( White),10.0,Metric Tonnes,3500.0,5300.0,4900.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Cereals,Jowar(Sorghum),Jowar ( White),10.0,Metric Tonnes,2500.0,5600.0,4000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Laxmeshwar APMC,Cereals,Jowar(Sorghum),Jowar ( White),1.2000000000000002,Metric Tonnes,3739.0,3739.0,3739.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Raichur APMC,Cereals,Jowar(Sorghum),Jowar ( White),1.8,Metric Tonnes,2729.0,2729.0,2729.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Vijayapura APMC,Cereals,Jowar(Sorghum),Jowar ( White),0.1,Metric Tonnes,4203.0,4203.0,4203.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,APMC THIRTHAHALLI,Cereals,Maize,Hybrid/Local,26.700000000000003,Metric Tonnes,2435.0,2435.0,2435.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bagalkot APMC,Cereals,Maize,Hybrid/Local,62.0,Metric Tonnes,2389.0,2579.0,2576.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Doddaballapur APMC,Cereals,Maize,Local,370.20000000000005,Metric Tonnes,2450.0,2610.0,2600.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Gundlupet APMC,Cereals,Maize,Local,1.4000000000000001,Metric Tonnes,2500.0,2500.0,2500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,H.B. Halli APMC,Cereals,Maize,Hybrid/Local,187.8,Metric Tonnes,2400.0,2250.0,2250.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Haliyala APMC,Cereals,Maize,Hybrid/Local,1.3,Metric Tonnes,2500.0,2500.0,2500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Hanagal APMC,Cereals,Maize,Local,197.20000000000002,Metric Tonnes,2370.0,2470.0,2370.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Honnali APMC,Cereals,Maize,Local,415.20000000000005,Metric Tonnes,2000.0,2580.0,2485.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Hoovinahadagali APMC,Cereals,Maize,Hybrid/Local,145.0,Metric Tonnes,2350.0,2410.0,2378.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Hungund APMC,Cereals,Maize,Hybrid/Local,2.0,Metric Tonnes,1900.0,1900.0,1900.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Nippani APMC,Cereals,Maize,Local,177.8,Metric Tonnes,2000.0,2010.0,2010.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Shikaripura APMC,Cereals,Maize,Local,1510.6000000000001,Metric Tonnes,2000.0,2300.0,2105.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Vijayapura APMC,Cereals,Maize,Hybrid/Local,6.5,Metric Tonnes,2532.0,2532.0,2532.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Doddaballapur APMC,Cereals,Paddy(Common),1001,25.8,Metric Tonnes,2350.0,2350.0,2350.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Gangavathi APMC,Cereals,Paddy(Common),Paddy RNR new,200.8,Metric Tonnes,2960.0,2960.0,2960.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Gangavathi APMC,Cereals,Paddy(Common),Sona Masuri (OLD),666.6,Metric Tonnes,3240.0,3567.0,3360.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Gangavathi APMC,Cereals,Paddy(Common),I.R. 64,83.80000000000001,Metric Tonnes,1933.0,2080.0,2080.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Hanagal APMC,Cereals,Paddy(Common),Paddy,146.0,Metric Tonnes,2180.0,2300.0,2200.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Harihara APMC,Cereals,Paddy(Common),Paddy RNR new,446.8,Metric Tonnes,2200.0,2730.0,2465.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Hoovinahadagali APMC,Cereals,Paddy(Common),Paddy,129.4,Metric Tonnes,3280.0,3280.0,3280.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Manvi APMC,Cereals,Paddy(Common),Sona Masuri (OLD),61.800000000000004,Metric Tonnes,3290.0,3300.0,3295.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Shikaripura APMC,Cereals,Paddy(Common),Paddy,393.40000000000003,Metric Tonnes,2700.0,3000.0,2885.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Sindhanur APMC,Cereals,Paddy(Common),Paddy RNR Old,1665.6000000000001,Metric Tonnes,2280.0,4005.0,3059.0,Rs./Quintal,2026-07-16
