state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Karnataka,Chamarajanagar,Chamarajanagar APMC,Beans,Beans (Whole),Local,17/07/2026,3000,4300,3600
Karnataka,Chamarajanagar,Chamarajanagar APMC,Cucumbar(Kheera),Cucumbar,Local,17/07/2026,1200,3000,2200
Karnataka,Vijayanagara,Hospet APMC,Black Gram(Urd Beans)(Whole),Black Gram (Whole),Local,17/07/2026,11300,11300,11300
Karnataka,Vijayanagara,Hospet APMC,Potato,Potato,Local,17/07/2026,1200,1600,1600
Karnataka,Bellary,Ballari APMC,Jowar(Sorghum),Yellow,Non-FAQ,17/07/2026,1869,2616,2424
Karnataka,Bellary,Ballari APMC,Green Gram(Moong)(Whole),Ordinary (Split),Non-FAQ,17/07/2026,6811,6811,6811
Karnataka,Bellary,Ballari APMC,Red gram/Arhar/Tur(whole),Arhar (Whole),Non-FAQ,17/07/2026,3899,7416,5658
Karnataka,Chitradurga,Hiriyur APMC,Ground Nut Seed,Ground Nut Seed,Large,17/07/2026,14700,14700,14700
Karnataka,Shivamogga,Shikaripura APMC,Paddy(Common),Paddy,FAQ,17/07/2026,2700,3500,2829
Karnataka,Mysuru,Mysuru APMC,Ashgourd,Ashgourd,Medium,17/07/2026,11,13,12
Karnataka,Mysuru,Mysuru APMC,Sweet Potato,Sweet Potato,Medium,17/07/2026,2300,2500,2400
Karnataka,Mysuru,Mysuru APMC,Carrot,Carrot,Medium,17/07/2026,4800,5000,4900
Karnataka,Mysuru,Mysuru APMC,Ladies Finger,Ladies Finger,Medium,17/07/2026,1200,1400,1300
Karnataka,Mysuru,Mysuru APMC,Snakeguard,Snakeguard,Medium,17/07/2026,1400,1600,1500
Karnataka,Mysuru,Mysuru APMC,Knool Khol,Knool Khol,Medium,17/07/2026,3800,4000,3900
Karnataka,Bagalkot,Hungund APMC,Red gram/Arhar/Tur(whole),Arhar (Whole),FAQ,17/07/2026,7800,7800,7800
Karnataka,Bidar,Basava Kalayana APMC,Bengal Gram(Gram)(Whole),Average (Whole),FAQ,17/07/2026,4500,5300,4500
Karnataka,Bengaluru South,Channapatna APMC,Ladies Finger,Ladies Finger,Local,17/07/2026,2000,2500,2300
Karnataka,Bengaluru South,Channapatna APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,17/07/2026,2500,3000,2700
Karnataka,Kolar,Bangarpet APMC,Potato,Local,Local,17/07/2026,1000,2000,1500
Karnataka,Kolar,Bangarpet APMC,Brinjal,Brinjal,Local,17/07/2026,2000,2500,2300
Karnataka,Kolar,Bangarpet APMC,Tomato,Tomato,Local,17/07/2026,700,1500,1000
Karnataka,Bengaluru South,Ramanagara APMC,Brinjal,Brinjal,Local,17/07/2026,2800,4500,4000
Karnataka,Chikkamagaluru,Kadur APMC,Tomato,Tomato,Medium,17/07/2026,991,1315,1190
Karnataka,Chikkamagaluru,Kadur APMC,Beans,Beans (Whole),Medium,17/07/2026,2775,2775,2775
Karnataka,Haveri,Hanagal APMC,Maize,Local,FAQ,17/07/2026,2000,2500,2500
Karnataka,Bengaluru,Bengaluru APMC,Rice,Fine,Medium,17/07/2026,5800,6200,6000
Karnataka,Bengaluru,Bengaluru APMC,Onion,Puna,Local,17/07/2026,1500,3200,2500
Karnataka,Bengaluru,Bengaluru APMC,Potato,Potato,Medium,17/07/2026,800,2000,1600
Karnataka,Bengaluru,Bengaluru APMC,Garlic,Garlic,Medium,17/07/2026,9000,25000,14000
Karnataka,Bengaluru,Bengaluru APMC,Mustard,Other,FAQ,17/07/2026,10200,11500,10850
Karnataka,Bengaluru,Bengaluru APMC,Soyabean,Soyabeen,FAQ,17/07/2026,9000,9500,9250
Karnataka,Bengaluru,"Binny Mill (F&V), Bengaluru APMC",Banana,Nendra Bale,Local,17/07/2026,1000,2800,1900
Karnataka,Bengaluru,"Binny Mill (F&V), Bengaluru APMC",Banana,Elakki Bale,Local,17/07/2026,1000,7000,4000
Karnataka,Bengaluru,"Binny Mill (F&V), Bengaluru APMC",Green Chilli,Green Chilly,Local,17/07/2026,3500,3700,3600
Karnataka,Bengaluru,"Binny Mill (F&V), Bengaluru APMC",Ginger(Green),Green Ginger,Local,17/07/2026,13000,15000,14000
Karnataka,Bengaluru,"Binny Mill (F&V), Bengaluru APMC",Carrot,Carrot,Local,17/07/2026,4500,5500,5000
Karnataka,Bengaluru,"Binny Mill (F&V), Bengaluru APMC",Ladies Finger,Ladies Finger,Local,17/07/2026,2500,2800,2700
Karnataka,Bengaluru,"Binny Mill (F&V), Bengaluru APMC",Snakeguard,Snakeguard,Local,17/07/2026,1600,1800,1700
Karnataka,Bengaluru,"Binny Mill (F&V), Bengaluru APMC",Green Avare(W),Green Avare (W),Local,17/07/2026,3000,3600,3300
Karnataka,Bengaluru,"Binny Mill (F&V), Bengaluru APMC",Drumstick,Drumstick,Local,17/07/2026,4000,5500,4500
Karnataka,Bengaluru,"Binny Mill (F&V), Bengaluru APMC",Suvarna Gadde,Suvarnagadde,Local,17/07/2026,3800,4000,3900
Karnataka,Belagavi,Kudchi APMC,Maize,Hybrid/Local,Local,17/07/2026,2600,2680,2620
Karnataka,Mandya,Srirangapattana APMC,Gur(Jaggery),Kurikatu,Local,17/07/2026,4000,4000,4000
Karnataka,Chamarajanagar,Chamarajanagar APMC,Tomato,Tomato,Local,17/07/2026,500,1400,900
Karnataka,Chikkaballapur,Chintamani APMC,Beans,Beans (Whole),Local,17/07/2026,4000,6000,5000
Karnataka,Chikkaballapur,Chintamani APMC,Chilly Capsicum,Chilly Capsicum,Local,17/07/2026,1000,2000,1500
Karnataka,Chikkaballapur,Chintamani APMC,Beetroot,Beetroot,Local,17/07/2026,1000,2000,1500
Karnataka,Chikkaballapur,Chintamani APMC,Cucumbar(Kheera),Cucumbar,Local,17/07/2026,400,600,500
Karnataka,Chikkaballapur,Chintamani APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,17/07/2026,1500,3000,2000
Karnataka,Vijayanagara,Hospet APMC,Gur(Jaggery),Achhu,Local,17/07/2026,4400,4460,4460
Karnataka,Vijayanagara,Hospet APMC,Red gram split/Arhar dal/Tur dal,Arhar Dal(Tur),Local,17/07/2026,10600,10600,10600
Karnataka,Chitradurga,Hiriyur APMC,Copra,Milling Copra,Local,17/07/2026,11000,11700,11525
Karnataka,Kolar,Malur APMC,Beans,Beans (Whole),Local,17/07/2026,6000,8000,7000
