commodity,records,unique_markets,completeness,consistency,norm_markets,norm_records,pilot_score
Arecanut(Betelnut/Supari),20,10,1.0,1.0,0.6923076923076923,1.0,0.9076923076923076
Beans,14,14,1.0,1.0,1.0,0.6842105263157895,0.9052631578947368
Green Chilli,14,14,1.0,1.0,1.0,0.6842105263157895,0.9052631578947368
Maize,13,13,1.0,1.0,0.9230769230769231,0.631578947368421,0.8663967611336032
Brinjal,13,12,1.0,1.0,0.8461538461538461,0.631578947368421,0.8433198380566802
Tomato,12,12,1.0,1.0,0.8461538461538461,0.5789473684210527,0.8275303643724696
Beetroot,10,10,1.0,1.0,0.6923076923076923,0.47368421052631576,0.7497975708502025
Bengal Gram(Gram)(Whole),10,10,1.0,1.0,0.6923076923076923,0.47368421052631576,0.7497975708502025
Cucumbar(Kheera),10,10,1.0,1.0,0.6923076923076923,0.47368421052631576,0.7497975708502025
Ridgeguard(Tori),10,10,1.0,1.0,0.6923076923076923,0.47368421052631576,0.7497975708502025
Red gram/Arhar/Tur(whole),10,10,1.0,1.0,0.6923076923076923,0.47368421052631576,0.7497975708502025
Paddy(Common),11,9,1.0,1.0,0.6153846153846154,0.5263157894736842,0.7425101214574898
Ladies Finger,9,9,1.0,1.0,0.6153846153846154,0.42105263157894735,0.7109311740890687
Cauliflower,9,9,1.0,1.0,0.6153846153846154,0.42105263157894735,0.7109311740890687
Carrot,9,9,1.0,1.0,0.6153846153846154,0.42105263157894735,0.7109311740890687
Rice,11,7,1.0,1.0,0.46153846153846156,0.5263157894736842,0.6963562753036437
Cabbage,8,8,1.0,1.0,0.5384615384615384,0.3684210526315789,0.6720647773279352
Raddish,8,8,1.0,1.0,0.5384615384615384,0.3684210526315789,0.6720647773279352
Wheat,8,7,1.0,1.0,0.46153846153846156,0.3684210526315789,0.6489878542510121
Knool Khol,7,7,1.0,1.0,0.46153846153846156,0.3157894736842105,0.6331983805668016
Coconut,7,7,1.0,1.0,0.46153846153846156,0.3157894736842105,0.6331983805668016
Jowar(Sorghum),7,7,1.0,1.0,0.46153846153846156,0.3157894736842105,0.6331983805668016
Capsicum,7,7,1.0,1.0,0.46153846153846156,0.3157894736842105,0.6331983805668016
Bitter gourd,6,6,1.0,1.0,0.38461538461538464,0.2631578947368421,0.594331983805668
Drumstick,6,6,1.0,1.0,0.38461538461538464,0.2631578947368421,0.594331983805668
Potato,6,6,1.0,1.0,0.38461538461538464,0.2631578947368421,0.594331983805668
Banana,8,3,1.0,1.0,0.15384615384615385,0.3684210526315789,0.5566801619433199
Black pepper,5,5,1.0,1.0,0.3076923076923077,0.21052631578947367,0.5554655870445344
Green Gram(Moong)(Whole),5,5,1.0,1.0,0.3076923076923077,0.21052631578947367,0.5554655870445344
Bottle gourd,4,4,1.0,1.0,0.23076923076923078,0.15789473684210525,0.5165991902834008
Ginger(Green),4,4,1.0,1.0,0.23076923076923078,0.15789473684210525,0.5165991902834008
Thondekai,4,4,1.0,1.0,0.23076923076923078,0.15789473684210525,0.5165991902834008
Ragi(Finger Millet),4,4,1.0,1.0,0.23076923076923078,0.15789473684210525,0.5165991902834008
Soyabean,4,4,1.0,1.0,0.23076923076923078,0.15789473684210525,0.5165991902834008
Groundnut,4,4,1.0,1.0,0.23076923076923078,0.15789473684210525,0.5165991902834008
Seemebadnekai,3,3,1.0,1.0,0.15384615384615385,0.10526315789473684,0.4777327935222672
Snakeguard,3,3,1.0,1.0,0.15384615384615385,0.10526315789473684,0.4777327935222672
Onion,3,3,1.0,1.0,0.15384615384615385,0.10526315789473684,0.4777327935222672
Papaya,3,3,1.0,1.0,0.15384615384615385,0.10526315789473684,0.4777327935222672
Apple,3,3,1.0,1.0,0.15384615384615385,0.10526315789473684,0.4777327935222672
Black Gram(Urd Beans)(Whole),3,3,1.0,1.0,0.15384615384615385,0.10526315789473684,0.4777327935222672
Bunch Beans,3,3,1.0,1.0,0.15384615384615385,0.10526315789473684,0.4777327935222672
Water Melon,3,3,1.0,1.0,0.15384615384615385,0.10526315789473684,0.4777327935222672
Cotton,3,3,1.0,1.0,0.15384615384615385,0.10526315789473684,0.4777327935222672
Pomegranate,3,3,1.0,1.0,0.15384615384615385,0.10526315789473684,0.4777327935222672
Pineapple,3,3,1.0,1.0,0.15384615384615385,0.10526315789473684,0.4777327935222672
Sweet Pumpkin,3,3,1.0,1.0,0.15384615384615385,0.10526315789473684,0.4777327935222672
Karbuja(Musk Melon),3,3,1.0,1.0,0.15384615384615385,0.10526315789473684,0.4777327935222672
Cowpea(Lobia/Karamani),3,3,1.0,1.0,0.15384615384615385,0.10526315789473684,0.4777327935222672
Chilly Capsicum,3,3,1.0,1.0,0.15384615384615385,0.10526315789473684,0.4777327935222672
Turmeric,2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Sweet Potato,2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Bajra(Pearl Millet/Cumbu),2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Black Gram Dal(Urd Dal),2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Alsandikai,2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Mango,2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Mousambi(Sweet Lime),2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Suvarna Gadde,2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Copra,2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Kulthi(Horse Gram),2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Chapparad Avare,2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Chikoos(Sapota),2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Gur(Jaggery),2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Green Avare(W),2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Lime,2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
"Sesamum(Sesame,Gingelly,Til)",2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Sunflower/Sunflower Seed,2,2,1.0,1.0,0.07692307692307693,0.05263157894736842,0.4388663967611336
Grapes,2,1,1.0,1.0,0.0,0.05263157894736842,0.41578947368421054
Banana - Green,1,1,1.0,1.0,0.0,0.0,0.4
Alasande Gram,1,1,1.0,1.0,0.0,0.0,0.4
Garlic,1,1,1.0,1.0,0.0,0.0,0.4
Cowpea(Veg),1,1,1.0,1.0,0.0,0.0,0.4
